name mass_lei log_L_lei radius_lei mass_true log_L_true radius_true age_true he_class log_he log_he_err log_Teff log_Teff_err log_g log_g_err mass_low mass mass_up
spec-57360-EG000325N203955B01_sp16-105.fits 0.4169999957084656 1.2840696117100832 0.17599999904632568 nan nan nan nan sdB -2.679 0.09700000286102295 4.459543258280413 0.004200462966646211 5.572000026702881 0.03200000151991844 0.46211599070710624 0.5208515340131415 0.5885306876024028
spec-56214-EG000024N121601B01_sp05-009.fits 0.3970000147819519 1.2413472172381992 0.19099999964237213 nan nan nan nan sdB -2.697 0.057999998331069946 4.431846045698725 0.0033610575420221747 5.4770002365112305 0.01600000075995922 0.4637552106205465 0.5165233233480767 0.5187429656561916
spec-57360-EG000325N203955B01_sp05-170.fits 0.7689999938011169 1.6854192559887804 0.2329999953508377 nan nan nan nan sdB -3.586 0.4740000069141388 4.499136994537382 0.006148679606749625 5.581999778747559 0.06400000303983688 0.46566905363834116 0.5866896445927143 0.5972170687271263
spec-57733-EG000006N255311V01_sp12-073.fits 0.4659999907016754 1.2871744603745017 0.18799999356269836 nan nan nan nan sdB -2.762 0.04399999976158142 4.447158031342219 0.0013937078593588268 5.560999870300293 0.03200000151991844 0.5734262566498161 0.6012680116983432 0.6025590444932449
spec-58109-EG001532N132509V01_sp14-193.fits 0.3330000042915344 1.3799759351326217 0.18799999356269836 nan nan nan nan sdB -1.898 0.03799999877810478 4.4707044297227885 0.0017594668842013563 5.4120001792907715 0.013000000268220901 0.5870643125192566 0.589602198705802 0.6015187193180399
spec-58043-GACII000N48B1_sp09-050.fits 0.39500001072883606 1.1549714415444712 0.17800000309944153 nan nan nan nan sdB -2.612 0.10599999874830246 4.425534220498263 0.011264289733540014 5.53000020980835 0.07900000363588333 0.4663063976935203 0.518624312025303 0.5318217745207935
spec-56214-EG000024N121601B01_sp13-068.fits 0.7020000219345093 1.2752652731070075 0.13899999856948853 nan nan nan nan sdB -2.256 0.12600000202655792 4.5082603055123345 0.004424090704829096 6.002999782562256 0.07999999821186066 0.46488116268294355 0.6738431757556771 0.676411194310229
spec-57300-EG001751N201337B01_sp10-161.fits 0.3930000066757202 1.282961803534335 0.19699999690055847 nan nan nan nan sdB -2.841 0.07999999821186066 4.436321700139733 0.002695028247779504 5.445000171661377 0.02800000086426735 0.5163239805833886 0.5186716108652125 0.5600677567048596
spec-58043-GACII000N48B1_sp07-055.fits 0.3370000123977661 2.191803002447343 0.20399999618530273 nan nan nan nan He-sdOB 0.91 0.22599999606609344 4.65427282709771 0.004024823210479333 5.340000152587891 0.03999999910593033 0.8537577699374583 0.8588476608200969 0.861059162795418
spec-57727-EG001201N232818B01_sp08-198.fits 0.36500000953674316 1.8269295859012196 0.20999999344348907 nan nan nan nan sdB -3.121 0.33899998664855957 4.558228421803325 0.009621028769781092 5.35099983215332 0.07199999690055847 0.7141897464323655 0.7213643520561517 0.8147618791566775
spec-55876-B7603_sp15-216.fits 0.3630000054836273 1.0382226383687185 0.1889999955892563 nan nan nan nan sdB -4.022 0.4869999885559082 4.383456296524753 0.0014345000058011016 5.440000057220459 0.03500000014901161 0.4645156493757297 0.4667908007364334 0.47655213290717535
spec-58100-GACII006N52B1_sp03-055.fits 0.36399999260902405 1.3550873800749041 0.18700000643730164 nan nan nan nan sdB -2.561 0.1509999930858612 4.464936429121733 0.005179924029271244 5.456999778747559 0.05700000002980232 0.5197736357743169 0.5886416964220613 0.6010257505561978
spec-58100-GACII006N52B1_sp05-186.fits 0.3109999895095825 1.4572761860613257 0.16599999368190765 nan nan nan nan sdB -3.04 0.5770000219345093 4.515476441382376 0.006053899896335259 5.48199987411499 0.06599999964237213 0.5905342493246974 0.6691116416321496 0.6788006630175166
spec-58043-GACII000N48B1_sp13-047.fits 0.9340000152587891 1.9070833661150264 0.4909999966621399 nan nan nan nan sdB -1.566 0.05900000035762787 4.393399695293102 0.002450680725679215 5.019999980926514 0.03400000184774399 0.5336583067485884 0.5478884142466619 0.6195163344142575
spec-56978-EG001639N015102M01_sp08-166.fits 0.5929999947547913 1.552108260147983 0.23600000143051147 nan nan nan nan sdB -3.323 0.06499999761581421 4.463743721247059 0.0022336470387636963 5.474999904632568 0.04699999839067459 0.5896503335767436 0.6612009761276657 0.6636944935275265
spec-57695-M31007N41M1_sp10-178.fits 0.22699999809265137 1.3807176232753176 0.23100000619888306 nan nan nan nan sdB -2.709 0.26100000739097595 4.4252080511386565 0.01031780035999842 5.066999912261963 0.05900000035762787 0.6019500596218463 0.6338755935148146 0.6571628714737203
spec-56266-M31007N41B1_sp10-033.fits 0.5220000147819519 1.4690263077508614 0.25600001215934753 nan nan nan nan sdB -2.407 0.12200000137090683 4.424554976606713 0.008414314267692508 5.335999965667725 0.04100000113248825 0.5308497291617876 0.5598388819631037 0.5637688308640989
spec-58100-GACII006N52B1_sp05-166.fits 0.41999998688697815 1.289856402709257 0.20800000429153442 nan nan nan nan sdB -2.434 0.05900000035762787 4.425044874551388 0.0027656981246013774 5.423999786376953 0.029999999329447746 0.5164784067289785 0.5182994027132151 0.5206019604942765
spec-56266-M31007N41B1_sp03-101.fits 0.7870000004768372 1.671283948625015 0.24699999392032623 nan nan nan nan sdB -2.407 0.09399999678134918 4.481729196960016 0.0031398357603864115 5.546999931335449 0.054999999701976776 0.46601159656827157 0.5870080510787283 0.5913192734913898
