name mass_lei log_L_lei radius_lei mass_true log_L_true radius_true age_true he_class log_he log_he_err log_Teff log_Teff_err log_g log_g_err mass_low mass mass_up log_L_low log_L log_L_up radius_low radius radius_up age_low age age_up mass_max_density log_L_max_density radius_max_density age_max_density
star0 nan nan nan 0.34694297066812874 0.5145076898588682 0.09279534486665054 8.871861627436738 nan -0.42601183707150697 0.1 4.406190407834061 0.013 6.0432733398261655 0.1 0.35213983918330427 0.4045604303012146 0.4682892400199742 0.6020393888042315 0.7306378614601128 1.0106129910561608 0.0977459787895184 0.1123237719311439 0.14454989957499892 8.610615777333463 8.74312162388076 8.855970763278268 0.3968327565469253 0.642430734355357 0.10492438904229828 8.757709262914517
star1 nan nan nan 0.3555647747875996 0.5453637559260324 0.1304473970273795 8.791246276611892 nan -0.7782035756697875 0.1 4.339949810650501 0.013 5.7581155218454665 0.1 0.3610315016717277 0.4163518571052547 0.4735170346302583 0.5923168122340382 0.7062722381388113 0.8902789720945404 0.13412080445393268 0.15362970310793955 0.19822147764844522 8.619400518077118 8.745266852047868 8.860679942785184 0.4157729680055813 0.6358876944845573 0.1400098043357917 8.751745418982715
star2 nan nan nan 0.3684350784853148 1.3974339966264595 0.18860545430941533 8.98233697037484 nan -0.6021638091784628 0.1 4.472907955583782 0.013 5.453320103696201 0.1 0.45571254201843703 0.5231953807776211 0.5938566205893443 1.3974416692314944 1.5318184811564655 1.6658694088940056 0.20391215396671195 0.23604848812854118 0.26690408599545873 8.203393997001587 8.360456946830388 8.507936059642388 0.5143800290989317 1.52898963338441 0.23989374670527752 8.491944112089346
star3 nan nan nan 0.37134861774291295 0.6333607634314096 0.11325333115897376 8.676165205741095 nan -0.7781512530451667 0.1 4.392641278827648 0.013 5.899747469149817 0.1 0.3721368339602798 0.42663208609286707 0.496830929071057 0.6938815991345998 0.8033054875937282 1.038768528738045 0.11815263024064036 0.13714217802716472 0.1629244907803061 8.554171575473847 8.677154104555338 8.815525938659695 0.418096547417552 0.7506459047989864 0.12885440894770983 8.660049144049074
star4 nan nan nan 0.3830714149726925 0.7802527752724663 0.12113880737464336 8.703465720206353 nan -0.42600878867755937 0.1 4.414748127415521 0.013 5.854780785831472 0.1 0.3727700341586012 0.4248754465224264 0.4756943141212436 0.7659689163498615 0.8784950199124795 1.0283962048264448 0.12042756034250442 0.13715992051145182 0.1627423104908163 8.528494866740022 8.633296072460539 8.778245731303468 0.4308213880211029 0.8452425950149562 0.12834751691164037 8.588834552599002
star5 nan nan nan 0.3962320792241455 1.0730130318897495 0.2685126994375256 8.801039015040535 nan -0.9700732269102449 0.1 4.315097423060616 0.013 5.178087599335459 0.1 0.402172352079796 0.4642057438365297 0.524919991012302 1.0697260488681049 1.2047258562537755 1.3652237636951974 0.24282831390560158 0.2782246056921941 0.3174142515615186 8.369702654644875 8.482680187464862 8.64842494218373 0.46383712976202207 1.175262417033907 0.27596717474390775 8.42494523782328
star6 nan nan nan 0.42617482408719465 1.2088640942708282 0.13512920882613727 8.720908766479138 nan 0.35190875047528675 0.1 4.498167986998456 0.013 5.806156949858443 0.1 0.3950498204203913 0.44763529479041597 0.5020356913993946 1.119147566362082 1.2363996147348912 1.3328923747092474 0.12682710946378006 0.13833911432761897 0.15285490169793498 8.497921398287351 8.617250994036045 8.758795293949232 0.4476623071276098 1.2476347825307235 0.13570307973788454 8.569572852804123
star7 nan nan nan 0.4204552143750764 1.0678022666370928 0.12044329853492863 8.637881687083588 nan 0.35206823391402264 0.1 4.48788582666061 0.013 5.900222088434886 0.1 0.3741107999818053 0.42384830346560626 0.47508071063181273 0.9921645509771865 1.1115719564768605 1.2310692516850643 0.11015554398387636 0.12368736646989965 0.14245474346031853 8.526217229699279 8.6330344299426 8.780828456874346 0.41512001061893 1.1099811183717545 0.11873350616729117 8.613402745125887
star8 nan nan nan 0.43820441046937103 1.1755655401161291 0.15088817226716816 8.614119901964898 nan -9.716010929224368e-05 0.1 4.465890366515911 0.013 5.7224339758847975 0.1 0.4124498891403515 0.47653620886923076 0.5347678816988279 1.1222121799499738 1.2571512379722756 1.3869185287650379 0.14572938158654486 0.16293976344064565 0.18363889957103027 8.467198888427792 8.574425059558715 8.730502639982818 0.4926816613104845 1.2535077704051254 0.159313809379785 8.51145623719253
star9 nan nan nan 0.45492629070468926 1.4074050879247146 0.1537850806924995 8.644517487416273 nan -0.00010730056357701178 0.1 4.519720749983732 0.013 5.722180253508697 0.1 0.4353722921216007 0.4983185352840982 0.5633501620487404 1.3335880317020754 1.4568983717011348 1.5876641156183262 0.15558652310516397 0.17875966726051074 0.20743443342862924 8.265233605240816 8.401318026275355 8.551082572861912 0.48788185873737067 1.4547122497960747 0.17115700387429755 8.326688650068299
star10 nan nan nan 0.47784339607282816 1.3701109750891485 0.5474294659098952 8.563063528934014 nan -0.7781796883539541 0.1 4.234690239196837 0.013 4.64069687558939 0.1 0.41367415453823664 0.4633310161774682 0.5251285128456709 1.2277337430882347 1.351703753369205 1.4854437180722506 0.3618271011026905 0.41967808282135977 0.460244297834146 8.428565022430345 8.552803073688395 8.664134080113634 0.45330429175569775 1.322384105255399 0.45732342133605275 8.554097769017616
