365008241 283.4841 42.5822   283   5079 2.9 -2.43   0 O
362415197  74.7555 40.5032   114   7758 2.0 -1.95   0 O
125210155  78.1786 40.22      82  18202 4.5  0.09   0 O
177706245  63.8262 46.3751   106  18467 4.5  0.11   0 O
370208205 317.0983  1.0321    55  20849 4.9  0.01   0 O
255509167  50.1511 39.9651    94  18315 4.5  0.1    0 O
167610155  78.1786 40.22      87  17413 4.4  0.12   0 O
552809190  94.1962 24.0379    75  17735 4.7  0.02   0 O
117501194  69.7682 34.6567    80  17569 4.6  0.07   0 O
370203207 315.3599  2.7508    50  17603 4.6  0.07   0 O
203804139  92.7012 13.1835   267  41615 4.8 -0.68   0 O
198107010 106.6646 22.3528   147  20942 4.8 -0.47   0 O
283501028  73.1683 17.529     51  19865 4.8  0.02   0 O
101413093  98.6529  2.8753    83  17145 4.5  0.09   0 O
380703127  29.6471 55.0847    83  69535 6.0  0.07   0 O
339610163 209.6026  6.8602   111  23284 5.5  0.38   0 O
442401127 225.4593 13.097     38  17779 4.5  0.09   0 O
270103045 111.2213 19.3911   127  22625 5.3  0.02   0 O
420011130 223.2681 48.9927    78  20001 4.7  0.03   0 O
248114213 304.4813 39.116    112  17636 4.4  0.16   0 O
275212022  70.8386 46.7016    23  18720 1.7 -0.89   0 O
 44503091  98.2768  4.589     59  16517 4.6  0.06   0 O
486810035  90.9423 22.4184   265  18650 4.7 -0.01   0 O
509806046  95.078  23.1109    80  19823 4.7  0.04   0 O
101112033  98.1507  4.7477    72  20381 4.6  0.14   0 O
581509011 309.7466 42.0443    67  14738 1.8 -0.96   0 O
157907168  59.891  55.9642   234  30228 4.8 -0.04   0 O
335112186 166.6676  1.9143    29  19292 4.8  0.07   0 O
425408223 215.27   17.608     47  28587 4.7  0.24   0 O
509810035  90.9423 22.4184   335  18992 4.8 -0.01   0 O
490506246  94.5343 22.617    135  17634 4.7  0.04   0 O
486306246  94.5343 22.617    150  17148 4.7  0.03   0 O
420802086 129.8249 10.6315    82  21922 5.5  0.18   0 O
470416164 334.0749 13.8558    56  19965 4.7  0.05   0 O
