609206246   1.0765 55.8749 58088.8097  85  68 28172 4.3 -0.08  64 I
611113112   1.0887 63.0636 58090.8729  49  40 30516 5.0 -0.7    0 O
611013112   1.1045 63.0535 58090.8278  56  51 23536 4.2 -0.04   7 I
611013214   1.1574 62.412  58090.8278  46  42 16180 3.7 -0.61   0 O
609213158   1.1836 57.4647 58088.791  102  96 13432 4.8 -0.26  29 O
611011032   1.2535 63.8259 58090.8368  38  31 42813 5.0 -0.22   0 O
611113115   1.3007 63.0404 58090.8632  54  54 12027 4.7 -0.67  20 O
609213232   1.3281 56.9502 58088.8097  41  37 12209 4.6 -0.66  14 O
609212124   1.3281 57.9796 58088.8097 128 106 13052 4.8 -0.74  75 O
609213157   1.3704 57.2886 58088.8007 162 151 12854 4.8 -0.7   31 O
609206230   1.4239 55.9382 58088.8097  87  63 12812 4.5 -0.66   9 O
611013216   1.4391 62.5733 58090.8278  62  60 27202 4.9 -0.23   0 O
609207202   1.4762 54.6684 58088.8097  87  72 12365 4.8 -0.69  29 O
609213248   1.5542 57.1222 58088.8097  68  64 11343 4.8 -0.8   89 O
609213222   1.5608 56.8857 58088.8097  37  32 12180 4.7 -0.66  33 O
611012216   1.5644 63.3895 58090.8278 194 167 12299 4.8 -0.68  36 O
609213096   1.5943 56.5576 58088.8007  69  58 11895 4.7 -0.66  20 O
611013044   1.6112 62.5093 58090.8278  75  73 42009 5.0 -0.2    0 O
596906028   1.6655 56.3295 58058.9354  51  32 13242 4.0 -0.39  10 O
609212195   1.6848 58.1955 58088.8007  31  21 12252 4.7 -0.66  28 O
609212173   1.7071 57.6195 58088.8097 136 112 11833 4.8 -0.84 100 O
609213110   1.743  57.4485 58088.8097  80  79 12214 4.8 -0.7   30 O
609213133   1.7752 57.183  58088.8007  48  42 12883 4.7  0.03  14 O
609206181   1.8121 55.7611 58088.8097  89  72 12076 4.8 -0.73  48 O
609207133   1.8286 55.0189 58088.8097  42  40 12945 4.7  0.04  11 O
596906202   1.8498 55.655  58058.9451 226 161 13094 4.5 -0.67  66 O
694509085   1.9422 11.1551 58449.7965 138 116 12817 4.6 -0.7   14 O
609213115   1.9441 57.3788 58088.8097  85  90 13090 4.6 -0.74  28 O
609212117   2.0236 57.9753 58088.8097 103  80 12181 4.8 -0.69  31 O
609213116   2.0422 57.493  58088.8097  38  37 12493 4.8 -0.66  29 O
611013038   2.0913 62.3831 58090.8278 155 149 16647 3.8 -0.0    3 I
611013192   2.0959 63.1612 58090.8278  33  33 12163 3.7  0.03   1 O
596906070   2.1035 56.3097 58058.9354 124  90 12680 4.3 -0.81   1 O
611113042   2.1766 62.4123 58090.8729  36  37 12180 4.7 -0.67  31 O
611013042   2.1796 62.4786 58090.8278  58  59 12489 4.8 -0.68  33 O
599606156   2.2003 55.6665 58065.9     71  57 36010 4.7  0.22  16 I
596906171   2.2509 55.8754 58058.9451 182 140 11814 4.8 -0.72  50 O
609212210   2.2877 57.6201 58088.8097 205 171 12226 4.8 -0.71  28 O
702614250   2.3706 58.9531 58469.775  113  82 12148 4.6 -0.66  16 O
609213051   2.3753 56.5595 58088.8097  56  50 11891 4.8 -0.66  23 O
609213061   2.3972 56.4517 58088.8097 126 125 12258 4.7 -0.69  22 O
609213010   2.4219 57.2596 58088.8097  97  94 13083 4.2 -0.69  24 O
609213196   2.4503 57.4388 58088.8097  76  69 11911 4.8 -0.69  36 O
702110124   2.4518 58.1567 58468.8354 135 101 11897 4.8 -0.73  53 O
609213008   2.5385 56.9783 58088.8097  86  77 15293 3.8 -0.2   36 I
701414040   2.5394 58.663  58466.8007  31  26 12733 4.7  0.04  10 O
609213192   2.5406 57.4805 58088.8097 100  90 12159 4.7 -0.65  21 O
702110103   2.5617 58.0932 58468.8354 122  94 12179 4.8 -0.69  33 O
702110095   2.5818 57.6422 58468.8354 165 131 13032 4.7 -0.7   38 O
702610141   2.6141 58.2757 58469.791   95  73 12086 4.8 -0.7   32 O
